Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
6/20/17 13:48,Map Shows Every Hate Crime Reported in DC in 2016,NBC4 Washington,Washington,DC,http://www.nbcwashington.com/news/local/Map-Shows-Every-Hate-Crime-Reported-in-DC-in-2016-429736273.html,2016 categorized crime crimes gay hate human map mark metro news4 office palacio police segraves washington 2016 categorized crime crimes gay hate human map mark metro news4 office palacio police segraves washington 2016 categorized crime crimes gay hate human map mark metro news4 office palacio police segraves washington 2016 categorized crime crimes gay hate human map mark metro news4 office palacio police segraves washington,"By Mark Segraves and Andrea Swalec	The number of hate crime reports in DC rose from 2015 to 2016, and trends suggest it will continue to climb. News4's Mark Segraves speaks with the head of the DC Office of Human Rights on what may be happening.	A"
6/20/17 14:00,Latest: Neighbor: Suspect in teen's slaying a 'quiet loner',Daily American Online,Somerset,PA,http://www.dailyamerican.com/news/nation/latest-neighbor-suspect-in-teen-s-slaying-a-quiet-loner/article_12341e50-b9ee-54f8-b9d3-cf5856cc5428.html,darwin fairfax girl hassanen latest loner martinez mosque muslim nabra police provus slaying torres virginia darwin fairfax girl hassanen latest loner martinez mosque muslim nabra police provus slaying torres virginia,"This photo provided by the Fairfax County Police Department shows Darwin Martinez Torres, of Sterling, Va. Martinez Torres was held on a murder charge Monday, June 19, 2017, in the slaying of a teenage Muslim girl who was attacked during a breakfast break"
6/20/17 14:45,Two horrific acts of violence and a debate: What is a hate crime?,Washington Post,Washington,DC,https://www.washingtonpost.com/news/post-nation/wp/2017/06/20/two-horrific-acts-of-violence-and-a-debate-what-is-a-hate-crime/,american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence american boston brudnick crime crimes faneuil hassanen hate immigrants interracial jewish man muslim nabra perpetrator slurs victims violence,An abaya-wearing Muslim teenager on her way home from a mosque was beaten to death with a metal bat before her body was found dumped in a pond. Her Sunday morning killing is being investigated as an extreme case of road rage дуо but not as a hate crime.	A
6/20/17 16:15,Muslims question whether Northern Virginia girl's killing was road rage,Richmond.com,Richmond,VA,http://www.richmond.com/news/virginia/ap/muslims-question-whether-northern-virginia-girl-s-killing-was-road/article_1dca215b-6e75-538d-9e72-2edb247e7dcc.html,chaudry crime fairfax family girl hassanen hate martinez mosque muslim north ramadan slaying torres virginia washington chaudry crime fairfax family girl hassanen hate martinez mosque muslim north ramadan slaying torres virginia washington chaudry crime fairfax family girl hassanen hate martinez mosque muslim north ramadan slaying torres virginia washington chaudry crime fairfax family girl hassanen hate martinez mosque muslim north ramadan slaying torres virginia washington chaudry crime fairfax family girl hassanen hate martinez mosque muslim north ramadan slaying torres virginia washington chaudry crime fairfax family girl hassanen hate martinez mosque muslim north ramadan slaying torres virginia washington,"BY ALANNA DURKIN RICHER AND SARAH RANKIN AP	A pond where the body of a teenage Muslim girl was found is shown on Monday, June 19, 2017, in Sterling, Va. A 22-year-old Virginia man was held on a murder charge Monday in the slaying of the girl, who was"
6/20/17 21:07,Pressure grows to classify Virginia Muslim teen Nabra Hassanen's slaying a hate crime,Pittsburgh Post-Gazette,Pittsburgh,PA,http://www.post-gazette.com/news/nation/2017/06/21/Pressure-grows-to-classify-Muslim-girl-Nabra-Hassanen-s-slaying-a-hate-crime/stories/201706210116,crime fairfax hassanen hate loudoun martinez morrogh mosque muslim nabra teen torres virginia washington crime fairfax hassanen hate loudoun martinez morrogh mosque muslim nabra teen torres virginia washington,"A Virginia teen found dead after she was attacked as she walked to a mosque was being remembered at vigils set in Washington and other cities nationwide Tuesday night, a day before her funeral.	The killing of Nabra Hassanen on Sunday also prompted calls"
6/20/17 22:15,Nabra Hassanen had more than one murderer,Socialist Worker Online,Chicago,IL,https://socialistworker.org/2017/06/21/nabra-hassanen-had-more-than-one-murderer,attack cair elizabeth hassanen hate martinez mosque murder muslim nabra perpetrator schulte torres virginia year,"If Virginia authorities have their way, the anti-Muslim hate that set the stage for the murder of a young woman will go unchallenged, writes Elizabeth Schulte.	SEVENTEEN-YEAR-old Nabra Hassanen was returning with a group of friends for all-night prayers"
6/20/17 3:09,Neighbors: Alleged mosque attacker made anti-Muslim slurs,Brownsville Herald,Brownsville,TX,http://www.brownsvilleherald.com/news/us_world/article_e08aaff2-3692-5c86-9b3f-25315b3b9b66.html,anti assailant attack augstein british finsbury hollybush london mosque muslim neighbors osborne park police sherizi anti assailant attack augstein british finsbury hollybush london mosque muslim neighbors osborne park police sherizi,"Forensic officers move the van at Finsbury Park in north London, where a vehicle struck pedestrians in north London Monday, June 19, 2017. The vehicle struck pedestrians near a mosque in north London early Monday morning. (AP Photo/Frank Augstein)	Posted:"
6/20/17 5:00,London terror attack near mosque: New info on suspect,CBS News,New York,NY,http://www.cbsnews.com/news/finsbury-park-london-mosque-attack-suspect-darren-osborne-terrorism-charges/,attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh attack british cardiff darren inbred isis london mosque muslim osborne police racist welsh,"LONDON -- British police have confirmed they are holding the lone suspect in the van attack outside a London mosque on suspicion of committing terrorism offenses.	Police have not formally charged or publically identified the 47-year-old man, but he has"
6/20/17 5:21,Anti-Muslim hate crime surges after Manchester and London Bridge attacks,The Guardian,,,https://www.theguardian.com/society/2017/jun/20/anti-muslim-hate-surges-after-manchester-and-london-bridge-attacks,aftermaths attack bridge finsbury getty images incidents islamophobic leon london manchester muslim park surges aftermaths attack bridge finsbury getty images incidents islamophobic leon london manchester muslim park surges,People read messages of support for the Muslim community near Finsbury Park mosque. Photograph: Leon Neal/Getty Images	Police in Manchester and London registered surges in anti-Muslim hate crime in the immediate aftermaths of the Manchester Arena bombing
6/20/17 5:22,Opinion: Pride Weekend,ODU Mace & Crown,Norfolk,VA,http://www.maceandcrown.com/2017/06/10/opinion-pride-weekend-needs-editing/,bisexual club crimes discrimination florida gay hate lesbian lgbt night orlando pride queer times transgender united weekend york,"Last year on June 12, an anti-LGBT terrorist entered the Pulse Night Club in Orlando, Florida, and killed 49 people while wounding many others. This was the largest domestic terrorist attack since 9/11 and the deadliest mass shooting in United States"
