Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
2/28/17 8:41,American who tried to stop Kansas shooting says 'happy to risk my life',The Times,,,http://tuckermantimes.com/american-who-tried-to-stop-kansas-shooting-says-happy-to-risk-my-life/116573/,,
2/28/17 8:41,"They terrorized a black child's party, then cried when a judge read their sentences",Sacramento Bee,Sacramento,CA,http://www.sacbee.com/news/nation-world/national/article135427529.html,,
2/28/17 9:48,"Shot fired through Evansville temple, FBI says likely a hate crime",WAVE 3,Louisville,KY,http://www.wave3.com/story/34625251/shot-fired-through-evansville-temple-fbi-says-likely-a-hate-crime,,
2/28/17 10:44,"New York confronts hate crimes with text reporting and $5,000 bounties",StateScoop,,,http://statescoop.com/new-york-confronts-hate-crimes-with-a-text-line-and-5-000-bounties,,
2/28/17 10:56,Indiana bill stiffening hate crime penalties fails in Senate,WSAU,Wausau,Wisconsin,http://wsau.com/news/articles/2017/feb/28/indiana-bill-stiffening-hate-crime-penalties-fails-in-senate/,,
2/28/17 11:41,Hate crime bill dies in the Legislature again,Chesterton Tribune,Chesterton,IN,http://chestertontribune.com/Indiana%20News/hate_crime_bill_dies_in_the_legi.htm,,
2/28/17 12:37,The Latest: FBI probes Kansas bar shooting as hate crime,WWSB ABC 7,Sarasota,FL,http://www.mysuncoast.com/ap/domestic/the-latest-fbi-probes-kansas-bar-shooting-as-hate-crime/article_3c3a3f59-769e-570c-849b-784e4819ae53.html,,
2/28/17 12:46,The Latest: Trump condemns Kansas bar shooting in speech,ABC News,,,http://abcnews.go.com/US/wireStory/latest-fbi-probes-kansas-bar-shooting-hate-crime-45808324,,
2/28/17 12:51,FBI investigating shootings of Indian men in Kansas as hate crime,One America News Network,,,http://www.oann.com/fbi-says-probing-shooting-of-two-indian-men-in-kansas-as-a-hate-crime/,,
2/28/17 13:23,FBI probes Kansas bar shooting as hate crime,WKYT,Lexington,KY,http://www.wkyt.com/content/news/FBI-probes-Kansas-bar-shooting-as-hate-crime-415014303.html,,
2/28/17 13:59,"White House condemns Kansas attack, calls it 'racially motivated'",WCTI12.com,New Bern,NC,http://www.wcti12.com/news/national/white-house-condemns-kansas-attack-calls-it-racially-motivated/366371745,,
2/28/17 14:18,Hate crimes spike in US,Sonoma State Star,Sonoma,CA,http://www.sonomastatestar.com/opinion/2017/2/28/hate-crimes-spike-in-us,,
2/28/17 15:42,Trump reportedly will break his silence on Kansas shooting of 2 engineers from India,News & Observer,Raleigh,NC,http://www.newsobserver.com/news/nation-world/national/article135560438.html,,
2/28/17 16:09,FBI investigating Kansas triple shooting that killed 1 as a hate crime,1340 WJOL,Will County,Illinois,http://www.wjol.com/syndicated-article?id=318898,,
2/28/17 18:30,FBI investigating Kansas bar shooting as hate crime,WDEF News 12,Chattanooga,TN,http://www.wdef.com/2017/02/28/fbi-investigating-kansas-bar-shooting-as-hate-crime/,,
2/28/17 18:37,Dealing with hate: Can America's truth and reconciliation commissions help?,NewsOK.com,Oklahoma City,OK,http://newsok.com/dealing-with-hate-can-americas-truth-and-reconciliation-commissions-help/article/feed/1176306,,
2/28/17 19:22,FBI Investigating Kansas Shooting of Indian Men as Hate Crime,Indo American News,Houston,TX,http://www.indoamerican-news.com/f-b-i-investigating-kansas-shooting-of-indian-men-as-hate-crime/,,
